iter	RMSE
0	8.495211119
1	7.739733559
2	7.106186495
3	6.546922922
4	6.085116736
5	5.65195104
6	5.286263278
7	4.867363895
8	4.539467378
9	4.32525071
10	4.110338875
11	3.948434826
12	3.802361483
13	3.673686924
14	3.566346847
15	3.440904682
16	3.313822515
17	3.235446289
18	3.168283575
19	3.103852574
20	3.044670223
21	2.985000736
22	2.900033041
23	2.826641107
24	2.764010136
25	2.726225991
26	2.672807996
27	2.643494218
28	2.611239631
29	2.573965859
30	2.542150419
31	2.511702122
32	2.488037734
33	2.450255186
34	2.409121593
35	2.38714089
36	2.366766769
37	2.334665047
38	2.305675317
39	2.279958083
40	2.246798876
41	2.223016019
42	2.198499433
43	2.180095663
44	2.158544189
45	2.126469661
46	2.097797191
47	2.077126412
48	2.049609933
49	2.017903885
50	2.002116842
51	1.984577952
52	1.966816829
53	1.941438649
54	1.909777933
55	1.889512452
56	1.876038597
57	1.853328432
58	1.826085544
59	1.813941887
60	1.808502839
61	1.796388765
62	1.767317901
63	1.749953876
64	1.741072458
65	1.725170677
66	1.705676251
67	1.685034649
68	1.675634646
69	1.65854169
70	1.641111584
71	1.630402321
72	1.61358748
73	1.606043379
74	1.60272636
75	1.587550473
76	1.570532388
77	1.557769196
78	1.541979561
79	1.524164348
80	1.508568952
81	1.49155657
82	1.480181308
83	1.467365921
84	1.464632387
85	1.462026628
86	1.451822783
87	1.449494363
88	1.43815968
89	1.428288458
90	1.419228565
91	1.409108871
92	1.394867514
93	1.380089971
94	1.366363305
95	1.354850515
96	1.345551285
97	1.339062399
98	1.32563285
99	1.314785588
100	1.302153856
101	1.288542768
102	1.276412818
103	1.268447147
104	1.257574791
105	1.248962112
106	1.241658855
107	1.232005283
108	1.221988837
109	1.209855439
110	1.193520256
111	1.181807017
112	1.166538873
113	1.157449141
114	1.146140412
115	1.137030484
116	1.128783206
117	1.11555368
118	1.106872524
119	1.095145646
120	1.082153928
121	1.071878174
122	1.058931074
123	1.047908149
124	1.041303364
125	1.039691715
126	1.029203633
127	1.02138719
128	1.009435273
129	1.001074183
130	0.9936847999
131	0.9861495427
132	0.978372665
133	0.9696685075
134	0.9657606824
135	0.9595186589
136	0.9516040792
137	0.9465843932
138	0.937486506
139	0.9321557707
140	0.930464838
141	0.9228139633
142	0.9155666575
143	0.9091006523
144	0.9039384343
145	0.8976087008
146	0.8862289524
147	0.8811952789
148	0.873200678
149	0.8665199172
150	0.8598059298
151	0.8533225729
152	0.8485141469
153	0.8447927808
154	0.8377721087
155	0.8309206225
156	0.828200821
157	0.8218797878
158	0.8177683195
159	0.8158073381
160	0.809890731
161	0.8056181855
162	0.8027390456
163	0.8004148239
164	0.7956381677
165	0.7858928989
166	0.7787986191
167	0.7745778669
168	0.7694767432
169	0.7670236357
170	0.7606727033
171	0.7539643589
172	0.7469094237
173	0.7418085127
174	0.7376128973
175	0.734825599
176	0.7309363097
177	0.7261883528
178	0.7245585297
179	0.7206369502
180	0.7183106712
181	0.7173268005
182	0.7088254958
183	0.7022413535
184	0.6979511614
185	0.6968286645
186	0.6939287845
187	0.6878926416
188	0.6853504501
189	0.6827703817
190	0.6768576064
191	0.6736109997
192	0.6678873495
193	0.6650207702
194	0.662791461
195	0.6620664079
196	0.6565541083
197	0.6533991603
198	0.6453054201
199	0.6436289768
200	0.6382693761
201	0.6321843084
202	0.6278194707
203	0.6237737318
204	0.6149150771
205	0.611481976
206	0.6081231696
207	0.606307342
208	0.5977936754
209	0.5967723508
210	0.5957845982
211	0.5952305116
212	0.5869610846
213	0.5833093426
214	0.5793500278
215	0.5772145031
216	0.5729445813
217	0.56772871
218	0.5653923833
219	0.564537919
220	0.5609718667
221	0.5534626568
222	0.5492208164
223	0.5433015268
224	0.5396669145
225	0.5346660752
226	0.5310091531
227	0.5285873789
228	0.5266109887
229	0.5258120795
230	0.5214782968
231	0.5155786088
232	0.5105996516
233	0.5067819515
234	0.5026522106
235	0.4984539255
236	0.4959154973
237	0.4932506435
238	0.4906128918
239	0.4892299147
240	0.4856133652
241	0.4838759143
242	0.4798758208
243	0.4780851595
244	0.4759079111
245	0.4734729944
246	0.4702897835
247	0.4676068619
248	0.4637252516
