iter	Passed	Remaining
0	6	1384
1	14	1420
2	21	1414
3	29	1431
4	36	1427
5	44	1447
6	51	1430
7	59	1428
8	66	1413
9	74	1414
10	81	1405
11	89	1400
12	96	1391
13	104	1382
14	111	1374
15	118	1364
16	126	1363
17	133	1350
18	140	1341
19	147	1329
20	154	1319
21	162	1312
22	169	1304
23	176	1296
24	183	1286
25	191	1282
26	199	1276
27	207	1271
28	214	1264
29	222	1261
30	229	1251
31	237	1245
32	244	1236
33	252	1231
34	259	1222
35	267	1217
36	274	1209
37	283	1206
38	290	1201
39	298	1194
40	306	1187
41	313	1180
42	321	1172
43	328	1164
44	336	1157
45	343	1149
46	350	1141
47	357	1132
48	365	1125
49	372	1117
50	379	1109
51	387	1102
52	394	1095
53	402	1088
54	410	1081
55	417	1074
56	425	1066
57	432	1058
58	439	1050
59	446	1042
60	454	1034
61	462	1028
62	469	1020
63	476	1012
64	484	1006
65	491	998
66	499	990
67	506	982
68	513	975
69	520	966
70	527	959
71	535	951
72	542	944
73	550	936
74	557	929
75	564	921
76	572	913
77	579	906
78	587	899
79	594	891
80	601	883
81	608	875
82	615	868
83	623	860
84	630	853
85	639	847
86	647	841
87	656	835
88	665	829
89	673	823
90	680	815
91	688	807
92	695	800
93	702	792
94	711	786
95	719	779
96	726	771
97	734	764
98	741	756
99	748	748
100	756	741
101	763	733
102	770	725
103	777	717
104	784	710
105	792	702
106	799	694
107	806	687
108	813	679
109	821	672
110	829	664
111	837	657
112	845	650
113	852	643
114	860	635
115	868	629
116	875	621
117	883	613
118	890	605
119	897	598
120	905	591
121	913	583
122	921	576
123	928	568
124	935	561
125	942	553
126	949	545
127	957	538
128	964	531
129	972	523
130	979	515
131	987	508
132	994	501
133	1002	493
134	1009	486
135	1016	478
136	1023	470
137	1031	463
138	1038	455
139	1046	448
140	1055	441
141	1062	434
142	1069	426
143	1077	418
144	1084	411
145	1090	403
146	1097	395
147	1104	388
148	1111	380
149	1119	373
150	1126	365
151	1133	357
152	1147	352
153	1154	344
154	1161	337
155	1167	329
156	1174	321
157	1181	314
158	1188	306
159	1196	299
160	1203	291
161	1210	283
162	1217	276
163	1224	268
164	1231	261
165	1238	253
166	1245	246
167	1253	238
168	1261	231
169	1269	223
170	1276	216
171	1284	209
172	1291	201
173	1298	194
174	1305	186
175	1312	179
176	1319	171
177	1327	164
178	1334	156
179	1342	149
180	1349	141
181	1356	134
182	1364	126
183	1371	119
184	1378	111
185	1385	104
186	1393	96
187	1399	89
188	1407	81
189	1414	74
190	1421	66
191	1428	59
192	1435	52
193	1442	44
194	1451	37
195	1459	29
196	1468	22
197	1476	14
198	1484	7
199	1491	0
